127.0.0.1 - - [11/May/2025:12:00:00 +0000] "GET /index.html HTTP/1.1" 200 1024
192.168.1.1 - - [11/May/2025:12:01:00 +0000] "POST /login HTTP/1.1" 401 512
10.0.0.5 - - [11/May/2025:12:02:00 +0000] "GET /images/logo.png HTTP/1.1" 304 0
203.0.113.77 - - [11/May/2025:17:00:00 +0000] "GET /about HTTP/1.1" 200 1024
203.0.113.200 - - [11/May/2025:18:45:00 +0000] "GET /debug HTTP/1.1" 200 456
203.0.113.200 - - [11/May/2025:18:45:00 +0000] "GET /debug HTTP/1.1" 200 456
10.0.0.5 - - [11/May/2025:12:02:00 +0000] "GET /images/logo.png HTTP/1.1" 304 0
10.0.0.5 - - [11/May/2025:12:02:00 +0000] "GET /images/logo.png HTTP/1.1" 304 0
10.0.0.5 - - [11/May/2025:12:02:00 +0000] "GET /images/logo.png HTTP/1.1" 304 0
203.0.113.200 - - [11/May/2025:18:45:00 +0000] "GET /debug HTTP/1.1" 200 456
203.0.113.200 - - [11/May/2025:18:45:00 +0000] "GET /debug HTTP/1.1" 200 456
203.0.113.201 - - [11/May/2025:19:10:00 +0000] "GET /new HTTP/1.1" 200 789
203.0.113.200 - - [11/May/2025:18:45:00 +0000] "GET /debug HTTP/1.1" 200 456
